	Dmawii-to-Dcoriacea	Cinsculpta-to-Dcoriacea	Cmccordi-to-Dcoriacea	Pexpansa-to-Dcoriacea	Amarmorata-to-Dcoriacea	Mtuberculata-to-Dcoriacea	Rswinhoei-to-Dcoriacea	Esubglobosa-to-Dcoriacea
gene-LOC119841394	I	M	PI	I	I	PI	I	I
gene-SPAG16	I	I	PI	I	I	I	I	I
gene-C7H3orf18	I	I	PI	I	I	I	I	I
gene-LOC119850771	M	L	I	L	I	L	I	I
gene-RAB35	I	I	I	I	I	I	UL	I
gene-PRXL2B	I	I	I	I	I	PI	I	I
gene-IMMP2L	I	I	PI	I	I	I	UL	I
gene-GUCA1B	I	I	I	I	I	I	I	I
gene-GATA2	I	I	I	I	I	I	I	I
gene-LOC119863520	I	I	I	I	I	I	I	I
gene-IRF1	I	I	I	I	I	I	UL	I
gene-LOC119854647	PI	I	I	PI	I	I	I	I
gene-PPTC7	I	I	I	I	I	I	I	I
gene-LOC122455346	I	M	I	M	I	UL	M	UL
gene-MTFMT	UL	I	UL	UL	I	PI	UL	UL
gene-PISD	I	I	I	I	I	I	I	I
gene-EPN1	PI	UL	UL	I	PI	I	UL	I
gene-LOC119860051	I	I	I	L	I	I	UL	UL
gene-DZIP1	I	I	I	I	I	I	UL	I
gene-ESYT2	I	I	PI	I	PI	I	I	I
gene-SALL1	I	I	I	I	I	I	I	I
gene-SPATA4	I	I	I	I	I	I	I	I
gene-ZDHHC4	I	I	I	I	I	I	I	I
gene-KRT222	I	I	I	I	I	I	I	I
gene-CZIB	I	I	I	I	I	I	I	I
gene-CDYL2	I	PI	I	I	I	I	I	I
gene-NOL6	I	I	I	I	I	I	I	I
gene-SLC35E2A	I	I	I	I	PI	I	I	I
gene-LOC119847602	I	UL	I	I	UL	I	I	I
gene-NR6A1	I	I	I	I	I	I	UL	I
gene-NINL	I	I	I	I	I	I	I	I
gene-HOXA3	I	I	I	I	I	I	I	I
gene-NDUFS2	I	I	I	I	I	I	I	I
gene-PDPN	I	I	I	I	I	I	I	I
gene-CUL2	I	I	I	I	PI	I	I	I
gene-CA9	I	I	I	I	I	PI	UL	PI
gene-TAFA3	I	I	I	I	I	I	I	I
gene-HERC4	I	I	I	I	I	I	UL	I
gene-CDH10	I	I	I	I	I	I	I	I
gene-LOC119849809	L	L	I	M	I	L	UL	L
gene-TMEM61	I	I	I	I	I	I	I	I
gene-ANAPC15	I	I	I	I	I	PI	I	PI
gene-LOC119862759	I	I	I	I	I	I	I	I
gene-LOC119852999	L	L	L	I	UL	UL	UL	UL
gene-ABCC8	I	I	I	I	PI	I	I	I
gene-LOC119842129	I	I	I	I	I	I	I	I
gene-TTLL1	I	I	I	I	I	I	I	I
gene-BIN1	PI	I	I	I	I	I	I	I
gene-CHCHD6	I	I	I	I	I	I	I	I
gene-SLC35D2	I	I	I	I	I	I	I	I
gene-CDV3	I	I	I	I	I	I	I	I
gene-TANC1	I	I	I	I	I	I	UL	I
gene-ADORA1	L	I	I	I	I	I	UL	I
gene-LOC119855825	I	UL	I	UL	I	I	I	I
gene-LOC119843178	I	L	L	L	PI	L	I	L
gene-LHFPL2	I	I	I	I	I	I	I	I
gene-CCDC40	I	I	I	I	I	I	UL	I
gene-ADAM23	I	I	I	I	I	I	UL	I
gene-PITPNM1	L	PI	PI	I	UL	L	I	I
gene-PEX1	I	I	I	I	I	I	I	I
gene-PLCD3	UL	PI	I	I	I	I	I	I
gene-LOC119850756	I	I	M	I	I	I	I	I
gene-STARD3	I	I	I	I	I	I	I	I
gene-SLC12A6	UL	PI	I	UL	I	I	UL	PI
gene-HSF2	I	I	I	I	PI	PI	I	I
gene-PAQR9	I	I	I	UL	I	I	I	UL
gene-LOC119861858	I	I	I	I	I	I	I	I
gene-CCNK	I	I	I	I	I	I	I	I
gene-STIL	I	I	I	I	I	I	I	I
gene-GRIN2D	PM	UL	PI	UL	PI	M	UL	UL
gene-KCNE5	I	UL	L	M	UL	M	UL	I
gene-HOXD12	I	I	I	I	I	I	I	I
gene-TUB	I	I	PI	I	I	I	I	I
gene-EPS8	I	I	I	I	I	I	I	I
gene-LOC122457100	L	L	UL	L	I	L	L	L
gene-CLK1	I	I	I	I	I	I	I	I
gene-RFX4	I	I	I	I	I	I	I	I
gene-LOC119856432	I	PG	I	PG	I	I	M	I
gene-ABLIM1	I	I	I	I	I	I	I	I
gene-GTDC1	I	I	I	I	I	I	I	I
gene-TWNK	I	I	I	M	I	M	I	I
gene-NSRP1	I	I	I	I	I	I	I	I
gene-LOC119853589	I	I	I	PI	I	I	I	I
gene-CEP135	I	I	I	I	I	I	I	I
gene-TMEM269	I	I	I	I	I	I	I	I
gene-LOC119862139	I	I	I	I	I	I	I	I
gene-CLP1	I	I	I	I	I	I	I	I
gene-LOC119862875	I	I	I	I	I	I	I	I
gene-OCRL	I	I	UL	I	I	I	I	I
gene-PTK2B	I	I	PI	I	I	I	UL	I
gene-MAP3K3	I	I	I	I	I	I	I	I
gene-LOC119844786	I	I	I	I	I	I	I	I
gene-SLC25A19	I	I	I	I	I	I	I	I
gene-MSC	I	I	I	I	I	I	I	I
gene-MGA	I	I	I	I	I	I	UL	I
gene-LOC119848920	I	I	I	I	PI	I	I	I
gene-LOC119855881	I	I	I	I	I	I	I	I
gene-LOC119860602	I	I	I	I	I	I	I	I
gene-IPO11	I	I	I	I	I	I	I	I
gene-LATS1	I	I	I	I	I	I	I	I
gene-RELL2	I	I	I	I	I	I	UL	I
gene-LOC119845751	I	I	I	I	I	I	I	I
gene-IQSEC3	I	I	I	PI	I	PI	UL	I
gene-PRKG1	I	I	I	I	I	I	I	I
gene-RAI1	I	I	I	I	I	I	I	I
gene-SLC26A11	I	I	I	I	I	I	UL	I
gene-LOC119863726	PI	I	I	I	PM	I	I	I
gene-NDUFAF3	PI	PI	I	I	I	PI	I	I
gene-ETNPPL	I	I	I	I	I	I	UL	I
gene-NEDD9	I	I	I	I	I	I	I	I
gene-TRMU	I	I	I	I	I	PI	I	I
gene-MAPKBP1	I	PI	I	I	I	I	UL	I
gene-DTX1	I	I	I	I	L	I	I	I
gene-C2H5orf22	I	I	I	I	I	I	I	I
gene-AGPAT1	PI	PG	PG	I	PG	I	UL	I
gene-SLC9A9	I	I	I	I	PI	I	I	I
gene-DDX43	I	I	UL	I	I	I	I	I
gene-TBC1D25	I	I	I	I	I	I	I	I
gene-LOC119846469	UL	M	UL	M	L	UL	PM	UL
gene-LOC119862007	I	I	I	I	I	I	I	I
gene-TAF1C	UL	PG	PI	I	M	I	L	I
gene-C4H4orf36	I	I	I	I	I	I	I	I
gene-TTLL2	I	I	I	I	I	I	I	I
gene-LOC119852300	I	I	I	I	I	I	I	I
gene-EBAG9	I	I	I	I	PI	I	I	I
gene-MYCL	UL	I	UL	UL	UL	UL	UL	UL
gene-SLC26A9	I	PI	I	I	I	I	I	I
gene-TTLL9	UL	UL	UL	UL	UL	UL	UL	UL
gene-SIL1	PI	I	I	I	I	I	I	I
gene-NMD3	I	I	I	I	I	I	I	I
gene-CHN1	I	I	I	I	I	I	I	I
gene-RAG1	I	I	I	I	I	I	I	I
gene-LOC119847200	I	I	I	I	M	M	I	I
gene-NYAP1	L	PM	L	I	I	I	UL	I
gene-SLF1	I	I	UL	I	I	PI	I	I
gene-BLNK	I	I	I	I	I	I	I	I
gene-LOC119842622	I	I	I	I	L	I	UL	I
gene-HDAC7	I	I	I	I	UL	I	UL	I
gene-LOC119858574	UL	PG	I	UL	UL	UL	UL	UL
gene-SIX4	I	I	I	I	I	I	I	I
gene-ARL4D	I	I	I	I	I	I	I	I
gene-HSPBAP1	I	I	I	I	I	I	I	I
gene-TMEM131	I	I	I	I	I	I	UL	I
gene-RP1	I	I	I	I	PI	UL	UL	I
gene-IL2RB	I	PI	I	L	I	I	UL	I
gene-TRMT61B	I	I	I	I	I	M	UL	I
gene-QRICH2	I	PI	PI	I	PI	PI	I	PI
gene-LOC119855009	I	I	I	I	I	I	UL	I
gene-TMEM41A	I	I	I	I	I	I	I	I
gene-PLA2G12A	I	I	M	I	I	I	UL	I
gene-UNC50	I	I	I	I	I	I	I	I
gene-RFC1	I	UL	UL	I	UL	I	UL	UL
gene-PAFAH1B2	I	I	I	I	I	I	UL	I
gene-TNK2	I	I	I	I	PI	I	UL	I
gene-CCDC61	I	I	I	I	I	I	I	I
gene-KCNC4	I	I	I	I	I	I	I	I
gene-NUP205	I	I	I	I	I	I	I	I
gene-SMPD3	I	PI	PI	I	I	I	I	I
gene-NDUFA9	UL	UL	UL	UL	PI	UL	UL	UL
gene-LOC119862153	I	I	I	I	I	I	I	I
gene-KCNG1	I	I	I	I	I	I	I	I
gene-HSD17B7	I	I	I	I	I	I	I	I
gene-MGAT1	I	I	I	I	I	I	I	I
gene-ZBTB7B	I	UL	I	I	I	I	UL	I
gene-RGMA	I	I	I	I	I	I	I	I
gene-IFNAR2	I	I	I	I	I	UL	I	I
gene-MRTFB	I	I	I	I	I	I	I	I
gene-GALNT9	I	I	I	I	PI	I	I	I
gene-ZNF518A	I	I	I	I	I	I	I	I
gene-PEX14	I	I	I	I	I	I	I	I
gene-MAP2K5	I	I	I	I	I	I	I	I
gene-RASAL1	I	PI	I	I	PI	I	I	I
gene-PACS2	I	I	I	I	I	PI	I	I
gene-AFAP1L2	I	I	I	I	I	I	I	I
gene-ZSWIM8	I	I	I	I	I	I	I	I
gene-GLYCTK	I	I	I	I	I	I	UL	I
gene-LOC119860733	I	I	I	I	I	I	I	I
gene-RANBP3	I	I	I	I	I	PI	I	I
gene-EFHD1	I	I	I	I	I	I	I	I
gene-FGL2	I	I	I	I	I	I	I	I
gene-VSTM2A	I	I	I	I	I	I	UL	I
gene-LOC119849875	I	I	I	I	PI	I	I	I
gene-LOC119848044	I	I	I	I	I	I	PI	PI
gene-RFESD	I	I	I	I	I	I	I	I
gene-LOC119842508	I	M	L	L	I	L	I	I
gene-LXN	I	I	I	I	I	I	I	I
gene-CBX7	I	I	I	I	I	I	I	I
gene-LOC119842391	I	M	I	I	I	I	I	M
gene-MAST2	I	I	I	I	I	I	UL	I
gene-UBE2G2	I	I	I	I	I	I	I	I
gene-DNAJC3	I	I	I	I	I	I	I	I
gene-TMEM165	I	I	I	I	I	I	I	I
gene-NIPBL	I	I	I	I	I	PI	I	I
gene-CNPY3	PI	UL	UL	UL	I	I	I	I
gene-CDK12	I	I	I	I	I	I	I	I
gene-RAP2A	I	I	I	I	I	I	I	I
gene-LOC119847609	UL	UL	UL	I	PM	UL	UL	UL
gene-CHST8	I	I	I	I	I	I	I	I
gene-LOC119842870	I	UL	I	I	I	M	I	L
gene-AHSA1	I	I	I	I	I	I	I	I
gene-LOC119843835	UL	L	UL	L	I	UL	UL	I
gene-LOC119847302	UL	I	UL	I	PI	UL	I	I
gene-PGS1	I	I	I	I	I	I	I	I
gene-YPEL1	I	I	PI	I	I	I	I	I
gene-RNF166	I	I	I	I	I	I	I	I
gene-LOC119846026	I	I	I	I	PI	I	I	PI
gene-SSBP1	I	I	I	I	I	I	I	I
gene-PACC1	I	I	I	I	I	I	UL	I
gene-MELTF	I	I	I	I	I	I	I	I
gene-LRSAM1	I	I	I	PI	I	I	I	I
gene-S1PR1	I	I	I	I	I	I	I	I
gene-TSPAN4	I	I	I	I	I	I	I	I
gene-PHB2	I	I	I	I	I	I	I	PI
gene-RBM12	I	I	I	I	I	I	UL	I
gene-ALCAM	I	I	I	I	I	I	I	I
gene-GPHB5	I	I	I	I	I	I	I	I
gene-GRIPAP1	PI	PM	UL	I	PI	I	UL	UL
gene-WNK3	PI	UL	PI	I	PI	I	UL	PI
gene-ARIH1	I	I	I	I	I	I	I	I
gene-LOC119845642	I	I	I	I	I	L	I	L
gene-FETUB	I	I	I	I	I	I	I	I
gene-ELMOD2	I	I	I	I	I	I	I	I
gene-LOC119855481	L	L	UL	L	I	UL	L	L
gene-SMAP2	UL	I	I	I	I	I	I	I
gene-LOC119842103	UL	L	I	L	UL	I	I	I
gene-GOLGA6L10	I	I	I	UL	I	I	I	I
gene-GPATCH11	I	I	I	I	I	PI	I	I
gene-PITX1	I	I	I	I	I	I	I	I
gene-LOC119849272	PI	PM	I	UL	I	UL	UL	UL
gene-ELP1	I	PI	I	I	UL	I	UL	I
gene-CCNB3	I	I	I	I	I	I	I	I
gene-NCKAP5	I	I	I	I	I	I	I	I
gene-LOC119841987	I	I	I	I	I	I	I	I
gene-LOC119860031	I	I	I	I	I	I	I	I
gene-DNAH5	I	PI	I	I	PI	PI	UL	I
gene-ANKRD24	I	I	I	I	I	I	UL	I
gene-CAMSAP1	I	I	I	I	I	I	I	I
gene-LOC119863469	PI	PI	PI	I	M	PI	I	I
gene-CIBAR2	I	I	I	I	I	I	I	I
gene-RBBP7	I	I	I	I	I	I	I	I
gene-GREB1L	I	I	I	I	I	I	I	I
gene-UBALD1	I	UL	I	I	I	PI	I	I
gene-MAP7	I	I	I	I	I	I	UL	I
gene-EDIL3	I	I	I	I	I	I	I	I
gene-LOC119854054	I	I	I	I	I	I	I	I
gene-HHATL	I	I	I	I	I	I	I	UL
gene-ZNF385C	I	I	I	I	I	I	I	I
gene-TRMT12	I	I	I	I	I	I	I	I
gene-LOC119857005	I	L	I	I	I	L	L	L
gene-CLIC2	I	I	I	I	I	I	I	I
gene-TNFAIP1	I	I	I	I	I	I	I	I
gene-MDH1	I	I	I	I	I	I	I	I
gene-LOC119845933	I	I	I	I	I	I	I	I
gene-EML6	I	I	PI	I	PI	I	I	I
gene-APOA1	I	I	I	I	I	I	I	I
gene-LOC119841779	I	I	I	UL	I	I	I	I
gene-LOC122459610	L	M	PM	M	I	L	M	L
gene-RAB2B	PM	I	I	L	I	I	I	I
gene-PSMA6	I	I	I	I	I	I	I	I
gene-LOC119845952	I	I	I	I	I	I	I	I
gene-LOC119852194	I	PI	I	I	I	I	I	I
gene-ITIH6	UL	L	I	I	L	UL	UL	I
gene-SLC43A1	I	PI	PI	PI	PI	I	I	UL
gene-CUX2	I	I	I	I	I	I	I	I
gene-USP1	I	I	I	I	I	I	I	I
gene-LOC119841322	L	L	L	L	L	L	L	L
gene-ZNF507	I	I	I	I	I	I	I	I
gene-RUNX3	I	I	I	I	I	I	I	PI
gene-LOC119850770	I	L	I	L	I	I	I	I
gene-STAT6	I	I	PI	I	UL	I	I	PI
gene-PRICKLE3	UL	I	UL	I	I	UL	I	UL
gene-SETD5	I	I	I	I	I	I	UL	I
gene-RUNDC3B	I	UL	I	UL	I	I	UL	UL
gene-PIPOX	UL	UL	PI	UL	L	I	UL	UL
gene-PRKX	I	I	I	I	I	I	UL	I
gene-BRD9	I	I	I	I	I	I	I	I
gene-USP34	I	I	I	I	I	PI	UL	I
gene-CDA	I	I	PI	I	I	I	I	I
gene-TDG	I	I	I	I	I	I	I	I
gene-LOC119858422	I	I	I	I	I	I	I	I
gene-GALK2	I	I	I	I	I	I	I	I
gene-LOC119856604	L	L	UL	L	L	L	L	L
gene-LOC119844693	I	I	I	I	I	I	I	I
gene-HYKK	I	I	I	I	I	I	I	I
gene-GAS6	I	I	I	I	I	I	I	I
gene-SUV39H2	I	I	I	I	I	I	I	I
gene-LOC122456393	L	UL	L	L	L	L	L	UL
gene-ABAT	I	I	I	I	I	I	I	I
gene-HOXB3	I	I	I	I	I	I	I	I
gene-YWHAB	I	I	I	I	I	I	I	I
gene-STEAP3	I	I	I	I	I	I	I	I
gene-DENND6A	I	I	I	I	I	I	UL	I
gene-SGMS2	I	I	I	I	I	I	I	I
gene-LOC119856795	L	L	UL	L	L	L	L	L
gene-POLH	I	I	I	I	I	I	I	I
gene-SLC22A15	I	I	I	I	I	I	I	I
gene-VPS37A	I	I	I	I	I	I	I	I
gene-RALGDS	I	I	I	I	I	PI	UL	I
gene-LOC119862473	L	L	L	L	L	L	L	L
gene-AXIN2	I	I	I	I	I	I	I	I
gene-PPP6C	I	I	I	I	I	I	I	I
gene-TNFRSF1A	I	I	I	I	I	I	I	I
gene-ARHGAP18	I	I	I	I	I	I	I	I
gene-HBS1L	I	I	I	I	I	I	I	I
gene-LOC119843953	I	I	I	I	I	I	I	I
gene-PITPNB	I	I	I	PI	UL	I	I	I
gene-HPS6	I	I	I	I	I	I	L	I
gene-SNAP25	I	I	I	I	I	I	I	I
gene-LOC119857202	UL	PI	PI	PI	UL	PI	I	I
gene-ZBED4	I	I	I	I	I	I	I	I
gene-HOXC10	I	I	I	I	I	I	I	I
gene-PDZRN4	I	I	I	I	I	I	I	I
gene-CPSF6	I	I	I	I	I	I	I	I
gene-MYRFL	I	I	I	I	I	I	I	I
gene-LOC119863733	L	L	L	L	L	L	L	L
gene-PDZD3	I	I	I	I	I	I	UL	I
gene-LOC119862161	I	I	I	I	I	I	UL	I
gene-C5	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119853024	I	I	I	I	I	I	I	I
gene-LOC119860138	I	I	I	I	I	I	I	I
gene-GPR142	I	I	I	I	I	UL	I	I
gene-GLRB	I	I	I	I	I	I	I	I
gene-SLC38A8	I	I	I	I	I	I	UL	I
gene-PACSIN1	I	I	I	I	I	I	I	I
gene-KCNK1	I	I	I	I	I	I	I	PI
gene-LOC119848085	I	L	M	I	I	I	I	I
gene-FMNL2	I	I	I	I	I	I	I	I
gene-USP13	I	I	I	I	I	PI	I	I
gene-LOC119853471	PI	I	I	I	I	I	I	I
gene-GPBP1	I	I	I	I	I	I	I	I
gene-TSPAN16	I	I	I	L	I	I	I	I
gene-PURB	I	I	I	I	M	I	I	I
gene-MACO1	I	I	I	I	I	I	I	I
gene-MLST8	I	I	I	I	I	I	I	I
gene-CERS1	I	I	I	I	I	I	I	I
gene-LOC119845727	I	I	I	I	I	I	I	I
gene-LOC119855859	I	I	I	I	I	I	UL	I
gene-UBA7	I	I	I	I	I	PI	UL	I
gene-LOC119851537	I	L	I	L	I	I	I	I
gene-ESRP1	I	I	PI	I	I	I	I	I
gene-FAM83G	I	I	I	I	I	I	UL	I
gene-TNFSF15	I	I	I	I	I	I	I	I
gene-SMC3	I	I	I	I	I	I	I	I
gene-CA12	I	L	I	I	I	I	UL	I
gene-FAM149A	I	I	I	I	I	PI	I	I
gene-VEGFA	I	I	I	I	I	I	I	I
gene-DDC	I	I	I	I	PI	L	I	UL
gene-FOXJ2	I	I	I	I	PI	I	I	I
gene-TMEM272	I	I	I	I	I	I	I	I
gene-PMFBP1	UL	UL	UL	UL	UL	UL	UL	UL
gene-CCDC74B	I	PI	I	I	I	I	I	I
gene-ADPRS	I	I	I	I	I	PI	I	I
gene-LOC119844316	I	I	I	I	I	I	I	I
gene-ERICH3	I	I	I	PI	I	I	UL	I
gene-TMEM265	UL	UL	UL	I	UL	UL	UL	I
gene-FBN3	I	PI	PI	I	PI	PI	UL	I
gene-SLC12A1	I	I	I	I	I	I	UL	I
gene-LOC119850955	I	I	I	I	I	I	I	I
gene-LOC119848213	I	I	I	I	I	I	I	I
gene-LOC119841609	I	I	I	I	I	I	I	I
gene-LOC119847840	I	L	I	I	I	I	I	I
gene-FER1L6	I	PI	I	I	I	I	UL	I
gene-ACVR2B	I	I	I	I	I	I	UL	I
gene-NADK	I	I	I	I	I	I	I	I
gene-RAB34	I	PI	PI	I	I	I	I	I
gene-ANLN	I	I	I	I	I	I	UL	I
gene-GLMN	I	I	I	I	I	I	I	I
gene-TMEM233	I	I	I	I	I	M	I	I
gene-GHRHR	I	UL	I	I	I	UL	UL	I
gene-TOMM40L	I	I	I	I	I	I	I	I
gene-LOC119846894	UL	L	UL	UL	I	L	L	UL
gene-SERF2	I	I	PI	I	I	I	I	I
gene-TP53I11	I	I	I	I	I	I	I	I
gene-THRAP3	I	I	I	I	I	I	UL	I
gene-WDFY2	I	I	I	I	I	I	I	I
gene-TEFM	I	I	I	I	I	I	I	I
gene-LOC119846579	I	I	I	L	I	I	I	I
gene-PPP1R1B	I	I	I	I	I	I	I	I
gene-TYSND1	I	I	I	I	I	I	I	I
gene-LDHD	I	M	I	I	I	I	I	I
gene-LOC119847414	I	M	L	I	UL	I	I	PM
gene-LOC119847146	I	PI	I	UL	PI	I	I	I
gene-LOC119852107	I	I	I	I	I	I	I	I
gene-CRELD1	I	M	PI	I	PI	I	I	I
gene-RBM33	I	I	I	I	I	I	I	I
gene-RHOD	I	I	I	I	I	I	UL	I
gene-UXT	M	I	PM	I	PI	I	I	PI
gene-STX10	I	I	I	UL	PI	I	I	I
gene-PDC	I	I	I	I	I	I	I	I
gene-LOC122456005	I	L	I	I	PI	I	L	I
gene-BTBD16	I	I	I	I	I	I	I	I
gene-KLC2	PI	I	I	I	I	I	I	I
gene-ACCS	I	I	I	I	I	I	I	I
gene-ZCCHC7	I	PI	I	I	PI	I	I	I
gene-GEM	I	I	I	I	I	I	UL	I
gene-RRAGC	I	I	I	I	I	I	UL	I
gene-CHRM4	I	I	I	I	I	I	I	I
gene-LOC119847447	PG	L	PG	I	I	I	UL	I
gene-ARMC9	I	I	PI	I	UL	I	I	UL
gene-TEKT2	I	I	I	I	I	I	I	I
gene-AP5M1	I	I	I	I	I	I	I	I
gene-ARMH4	I	I	I	I	I	I	I	I
gene-LOC119851127	I	I	I	I	PI	I	I	I
gene-ATPSCKMT	I	I	I	I	I	I	UL	I
gene-TSKU	I	I	I	I	I	I	I	I
gene-LCLAT1	I	I	I	I	I	I	I	I
gene-CDKN1C	I	I	I	UL	I	PI	I	I
gene-PIGQ	I	I	I	I	I	I	UL	I
gene-FCF1	I	I	I	I	I	I	UL	I
gene-EGLN1	I	I	I	I	I	I	I	I
gene-PRELID3B	I	I	I	I	I	I	I	I
gene-TPCN1	I	I	I	I	PI	I	I	I
gene-DUS4L	I	I	I	I	I	I	I	I
gene-B3GNT3	I	I	I	I	I	M	I	M
gene-FAM20A	I	I	I	PI	PI	I	UL	I
gene-NES	I	I	I	I	I	I	I	I
gene-SPECC1L	I	I	I	I	I	I	I	I
gene-CRH	I	I	I	I	I	I	I	I
gene-ODF3L2	I	I	I	I	I	I	L	I
gene-AFF1	I	I	I	I	I	PI	I	I
gene-COTL1	I	I	I	I	I	I	I	I
gene-TAOK2	L	PM	PG	I	L	PI	I	I
gene-GABPB2	I	I	I	I	I	I	I	I
gene-PGAP4	I	I	I	I	I	I	I	I
gene-LOC119851555	I	I	I	I	PI	I	I	I
gene-METTL25B	PI	I	I	I	I	I	I	I
gene-PEDS1	I	I	I	I	I	I	I	I
gene-NR2F1	I	I	I	I	I	I	I	I
gene-CHD2	I	I	I	I	I	I	I	I
gene-PTPN5	I	I	I	I	I	I	I	I
gene-SLC7A13	I	I	I	L	I	I	I	I
gene-UHRF1BP1	I	I	I	I	I	I	I	I
gene-CERK	I	I	I	I	I	I	I	I
gene-LOC122458292	UL	UL	UL	UL	I	UL	UL	UL
gene-LOC119862985	UL	UL	PI	UL	PI	UL	UL	UL
gene-ZRANB1	I	I	I	I	I	I	I	I
gene-FBXO30	I	I	I	I	I	M	I	I
gene-LOC119852279	I	UL	I	I	I	I	I	I
gene-DNAJB13	I	I	PI	I	I	I	I	I
gene-FBXO16	I	I	I	I	PI	I	I	I
gene-LOC119859215	I	I	I	I	I	I	I	I
gene-KIF27	I	I	UL	I	I	I	I	I
gene-LOC119863786	PI	I	I	I	I	I	I	I
gene-FAM168B	I	I	I	I	I	I	I	I
gene-DAG1	I	I	I	I	I	I	I	I
gene-LOC119849751	I	I	I	I	PI	I	I	I
gene-KIF18B	I	I	I	I	I	I	I	I
gene-LOC122456519	I	I	I	I	PI	UL	I	I
gene-RNF125	I	L	I	L	UL	I	L	L
gene-LOC119845134	I	I	I	I	PM	I	UL	I
gene-ACSL6	I	I	I	I	I	I	I	I
gene-LOC119863415	UL	L	I	L	I	M	L	I
gene-LOC119843303	UL	UL	I	M	UL	M	I	M
gene-RRP12	PI	PI	PI	I	UL	I	UL	I
gene-LOC119861068	I	I	I	PI	I	I	L	I
gene-LOC119841632	UL	L	UL	L	UL	PI	L	L
gene-EXD3	I	I	I	I	PI	I	I	I
gene-DOCK5	UL	I	UL	UL	UL	UL	I	UL
gene-NR2C2	I	I	I	I	I	I	I	I
gene-KCNG2	I	I	PI	I	I	I	I	I
gene-PTPRO	I	I	PI	I	I	I	I	I
gene-LOC119860397	I	I	UL	I	I	I	I	I
gene-MCM6	I	I	I	I	I	I	I	I
gene-SF3A3	I	I	I	I	I	I	I	I
gene-GABRG1	I	I	I	I	I	I	I	I
gene-DLGAP2	I	I	I	I	I	I	I	I
gene-C7H3orf20	UL	UL	I	UL	UL	UL	I	UL
gene-C10H15orf48	I	I	I	I	I	I	I	I
gene-SNAI1	I	I	I	I	I	I	M	I
gene-ACTR2	I	I	I	I	I	I	I	I
gene-PTGDS	I	I	I	I	I	I	I	I
gene-LOC119855107	I	I	I	I	I	I	I	I
gene-TRIM35	I	I	I	I	I	I	UL	I
gene-UCHL5	I	I	I	I	I	I	I	I
gene-NCAM2	I	I	I	I	PI	I	I	I
gene-CCDC106	L	I	I	I	I	I	I	I
gene-MAPK14	I	I	I	I	I	I	UL	UL
gene-ECHDC2	I	I	I	I	I	I	I	I
gene-NPNT	I	I	I	I	I	I	I	I
gene-LOC119845194	L	UL	UL	UL	L	UL	L	UL
gene-TOP3B	I	I	I	I	I	I	I	I
gene-GPRIN1	UL	UL	UL	L	UL	UL	UL	UL
gene-IL20RA	I	I	I	I	I	I	I	I
gene-LOC122459298	UL	UL	UL	UL	UL	UL	UL	UL
gene-LARP4B	I	I	I	I	I	I	I	I
gene-MTO1	I	I	I	I	I	I	I	I
gene-DEDD	I	I	I	I	I	I	I	I
gene-C1GALT1C1	I	I	I	I	I	I	I	I
gene-LOC119842475	I	I	L	L	I	L	I	I
gene-SLIT3	I	PI	I	I	I	I	I	I
gene-PRKAR2B	I	I	I	I	I	I	I	I
gene-CPXM1	I	PI	PI	I	I	UL	L	I
gene-TYRP1	I	I	I	I	I	I	I	I
gene-MDFI	I	I	I	I	I	I	UL	I
gene-LOC119860503	I	I	I	I	I	I	L	I
gene-TSPAN5	I	I	I	I	I	I	I	I
gene-COQ3	I	I	I	I	I	I	I	I
gene-MARCO	I	I	I	I	I	I	I	I
gene-LOC119859353	I	I	PI	I	I	I	I	UL
gene-TTC30B	L	I	I	I	I	I	I	I
gene-LOC119848499	I	I	I	I	I	I	UL	I
gene-LOC122458396	I	PI	M	I	I	I	I	I
gene-PIGZ	I	I	I	I	I	I	I	I
gene-LOC122457314	L	UL	UL	L	UL	UL	UL	UL
gene-LOC119853559	I	I	I	I	I	I	I	I
gene-PIGK	I	I	I	I	I	PI	I	I
gene-TM2D1	I	I	I	I	I	I	I	I
gene-PANX2	I	I	I	I	I	I	UL	I
gene-LOC119847012	I	I	I	I	I	I	I	I
gene-PIGH	I	I	I	I	I	I	I	I
gene-TMEM170A	I	I	I	I	I	I	I	I
gene-SNX1	I	I	I	I	I	I	I	I
gene-LOC119844472	M	I	I	L	M	L	L	M
gene-HSBP1L1	I	I	I	I	I	I	I	I
gene-FAXC	UL	UL	UL	UL	UL	UL	UL	UL
gene-KIF9	PI	I	I	I	I	I	UL	I
gene-LOC119863522	UL	I	UL	I	I	I	UL	I
gene-C6H11orf49	I	PI	I	I	I	I	I	I
gene-HSPA12B	I	I	I	I	PI	I	I	I
gene-SLC9B2	I	I	I	I	I	I	I	I
gene-CILK1	I	I	PI	I	I	I	I	I
gene-APOA2	I	I	I	I	I	I	I	I
gene-PIP4K2C	I	I	I	I	I	I	I	I
gene-MRE11	I	I	I	I	I	I	I	I
gene-NEDD1	I	I	I	I	I	I	I	I
gene-RNF38	I	I	I	I	I	I	I	I
gene-KIAA0753	I	I	I	UL	I	I	I	I
gene-TUT4	I	I	PI	I	I	I	I	I
gene-LOC119844507	UL	I	PM	I	I	I	L	I
